Befund,Fundnummer,Gramm,gewicht
"96","1230340","3050","3050"
"93","1230329","10","5700"
"93","1230330","50","5700"
"93","1230322","75","5700"
"93","1230334","75","5700"
"93","1230335","325","5700"
"93","1230331","150","5700"
"93","1230323","200","5700"
"93","1230324","915","5700"
"93","1230327","1375","5700"
"93","1230325","1150","5700"
"93","1230333","1375","5700"
"75","1230289","3600","3600"
"98","1230343","70","17055"
"187","1230490","0","0"
"188","1230492","0","0"
"175","1230478","1000","2350"
"98","1230344","8135","17055"
"98","1230033","0","17055"
"98","1230348","2275","17055"
"98","1230346","1750","17055"
"98","1230050","925","17055"
"98","1230351","3900","17055"
"99","1230353","275","275"
"24","1230197","0","2175"
"24","1230204","0","2175"
"24","1299999","2175","2175"
"24","1230200","0","2175"
"24","1230206","0","2175"
"25","1230207","650","650"
"110","1230385","400","400"
"111","1230386","600","600"
"108","1230383","1225","2635"
"108","1230380","1410","2635"
"88","1230316","550","2825"
"88","1230319","325","2825"
"88","1230318","650","2825"
"88","1230317","1300","2825"
"112","1230387","650","650"
"180","1230485","75","75"
"192","1230496","100","100"
"185","1230489","75","75"
"116","1230393","275","275"
"89","1230320","975","975"
"181","1230487","25","25"
"178","1230482","1650","1650"
"146","1230446","585","585"
"114","1230390","1625","1625"
"142","1230442","1275","1275"
"179","1230484","1275","1275"
"128","1230421","2075","2075"
"141","1230440","675","7240"
"141","1230439","1950","7240"
"127","1230420","1825","5325"
"130","1230425","175","175"
"129","1230424","175","175"
"23","1230194","180","180"
"127","1230418","2750","5325"
"175","1230478","1350","2350"
"172","1230475","2475","2475"
"127","1230415","750","5325"
"126","1230414","70","70"
"176","1230480","20","20"
"124","1230409","2750","2750"
"150","1230450","230","230"
"151","1230451","0","0"
"145","1230445","1325","1325"
"134","1230431","15","15"
"135","1230432","725","725"
"139","1230433","990","990"
"133","1230429","2000","5175"
"133","1230428","3175","5175"
"131","1230426","160","160"
"119","1230400","650","14250"
"119","1230396","2375","14250"
"119","1230398","5025","14250"
"119","1230402","6200","14250"
"125","1230411","725","725"
"141","1230435","3600","7240"
"141","1230436","1015","7240"
"168","1230469","325","3325"
"168","1230470","225","3325"
"132","1230427","1075","1075"
"168","1230472","650","3325"
"148","1230448","50","50"
"122","1230406","1175","1175"
"147","1230447","175","175"
"115","1230392","3850","3850"
"191","1230493","4450","4450"
"70","1230282","3750","3750"
"118","1230395","2475","2475"
"143","1230443","180","180"
"173","1230476","800","800"
"140","1230434","1125","1525"
"149","1230449","160","160"
"140","1230444","400","1525"
"157","1230456","20","20"
"9000","1230498","75","75"
"159","1230458","25","25"
"153","1230452","290","290"
"74","1230288","150","150"
"170","1230473","515","515"
"121","1230405","252","252"
"154","1230454","1525","1525"
"161","1230460","700","700"
"165","1230464","3175","3175"
"160","1230459","600","600"
"163","1230461","2775","2775"
"117","1230394","0","0"
"123","1230408","400","400"
"168","1230041","2125","3325"
"166","1230467","2525","2525"
"177","1230481","1405","1405"
"174","1230477","3300","3300"
"41","1230234","0","0"
"158","1230457","2675","2675"
"55","1230,252","2300","3140"
"55","1230250","840","3140"
"106","1230367","3900","3900"
"78","1230295","0","625"
"78","1230302","175","625"
"78","1230296","450","625"
"72","1230284","2075","2075"
