Befund,Fundnummer,Gramm
96,1230340,3050
93,1230329,10
93,1230330,50
93,1230322,75
93,1230334,75
93,1230335,325
93,1230331,150
93,1230323,200
93,1230324,915
93,1230327,1375
93,1230325,1150
93,1230333,1375
75,1230289,3600
98,1230343,70
187,1230490,0
188,1230492,0
175,1230478,1000
98,1230344,8135
98,1230033,0
98,1230348,2275
98,1230346,1750
98,1230050,925
98,1230351,3900
99,1230353,275
24,1230197,0
24,1230204,0
24,1299999,2175
24,1230200,0
24,1230206,0
25,1230207,650
110,1230385,400
111,1230386,600
108,1230383,1225
108,1230380,1410
88,1230316,550
88,1230319,325
88,1230318,650
88,1230317,1300
112,1230387,650
180,1230485,75
192,1230496,100
185,1230489,75
116,1230393,275
89,1230320,975
181,1230487,25
178,1230482,1650
146,1230446,585
114,1230390,1625
142,1230442,1275
179,1230484,1275
128,1230421,2075
141,1230440,675
141,1230439,1950
127,1230420,1825
130,1230425,175
129,1230424,175
23,1230194,180
127,1230418,2750
175,1230478,1350
172,1230475,2475
127,1230415,750
126,1230414,70
176,1230480,20
124,1230409,2750
150,1230450,230
151,1230451,0
145,1230445,1325
134,1230431,15
135,1230432,725
139,1230433,990
133,1230429,2000
133,1230428,3175
131,1230426,160
119,1230400,650
119,1230396,2375
119,1230398,5025
119,1230402,6200
125,1230411,725
141,1230435,3600
141,1230436,1015
168,1230469,325
168,1230470,225
132,1230427,1075
168,1230472,650
148,1230448,50
122,1230406,1175
147,1230447,175
115,1230392,3850
191,1230493,4450
70,1230282,3750
118,1230395,2475
143,1230443,180
173,1230476,800
140,1230434,1125
149,1230449,160
140,1230444,400
157,1230456,20
9000,1230498,75
159,1230458,25
153,1230452,290
74,1230288,150
170,1230473,515
121,1230405,252
154,1230454,1525
161,1230460,700
165,1230464,3175
160,1230459,600
163,1230461,2775
117,1230394,0
123,1230408,400
168,1230041,2125
166,1230467,2525
177,1230481,1405
174,1230477,3300
41,1230234,0
158,1230457,2675
55,"1230,252",2300
55,1230250,840
106,1230367,3900
78,1230295,0
78,1230302,175
78,1230296,450
72,1230284,2075
